REGION,C_REGION,DISTRITO,C_DISTRITO,COMUNA,C_COMUNA
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,PICHIDEGUA,2591
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,PICHILEMU,2596
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,PLACILLA,2609
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,PUMANQUE,2610
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,SAN FERNANDO,2602
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,SAN VICENTE,2595
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,3006,DISTRITO 16,6016,SANTA CRUZ,2611
DEL MAULE,3007,DISTRITO 17,6017,CONSTITUCION,2613
DEL MAULE,3007,DISTRITO 17,6017,CUREPTO,2614
DEL MAULE,3007,DISTRITO 17,6017,CURICO,2625
DEL MAULE,3007,DISTRITO 17,6017,EMPEDRADO,2615
DEL MAULE,3007,DISTRITO 17,6017,HUALAÑE,2626
DEL MAULE,3007,DISTRITO 17,6017,LICANTEN,2627
DEL MAULE,3007,DISTRITO 17,6017,MAULE,2616
DEL MAULE,3007,DISTRITO 17,6017,MOLINA,2628
DEL MAULE,3007,DISTRITO 17,6017,PELARCO,2617
DEL MAULE,3007,DISTRITO 17,6017,PENCAHUE,2618
DEL MAULE,3007,DISTRITO 17,6017,RAUCO,2629
DEL MAULE,3007,DISTRITO 17,6017,RIO CLARO,2619
DEL MAULE,3007,DISTRITO 17,6017,ROMERAL,2630
DEL MAULE,3007,DISTRITO 17,6017,SAGRADA FAMILIA,2631
DEL MAULE,3007,DISTRITO 17,6017,SAN CLEMENTE,2620
DEL MAULE,3007,DISTRITO 17,6017,SAN RAFAEL,2621
DEL MAULE,3007,DISTRITO 17,6017,TALCA,2612
DEL MAULE,3007,DISTRITO 17,6017,TENO,2632
DEL MAULE,3007,DISTRITO 17,6017,VICHUQUEN,2633
DEL MAULE,3007,DISTRITO 18,6018,CAUQUENES,2622
DEL MAULE,3007,DISTRITO 18,6018,CHANCO,2623
DEL MAULE,3007,DISTRITO 18,6018,COLBUN,2635
DEL MAULE,3007,DISTRITO 18,6018,LINARES,2634
DEL MAULE,3007,DISTRITO 18,6018,LONGAVI,2636
DEL MAULE,3007,DISTRITO 18,6018,PARRAL,2637
DEL MAULE,3007,DISTRITO 18,6018,PELLUHUE,2624
DEL MAULE,3007,DISTRITO 18,6018,RETIRO,2638
DEL MAULE,3007,DISTRITO 18,6018,SAN JAVIER,2639
DEL MAULE,3007,DISTRITO 18,6018,VILLA ALEGRE,2640
DEL MAULE,3007,DISTRITO 18,6018,YERBAS BUENAS,2641
DE ÑUBLE,3016,DISTRITO 19,6019,BULNES,2827
DE ÑUBLE,3016,DISTRITO 19,6019,CHILLAN,2826
DE ÑUBLE,3016,DISTRITO 19,6019,CHILLAN VIEJO,2828
DE ÑUBLE,3016,DISTRITO 19,6019,COBQUECURA,2836
DE ÑUBLE,3016,DISTRITO 19,6019,COELEMU,2837
DE ÑUBLE,3016,DISTRITO 19,6019,COIHUECO,2843
DE ÑUBLE,3016,DISTRITO 19,6019,EL CARMEN,2829
DE ÑUBLE,3016,DISTRITO 19,6019,NINHUE,2838
DE ÑUBLE,3016,DISTRITO 19,6019,ÑIQUEN,2844
DE ÑUBLE,3016,DISTRITO 19,6019,PEMUCO,2830
DE ÑUBLE,3016,DISTRITO 19,6019,PINTO,2831
